Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Memory Size,Memory Type,CAS Latency,Speed
RAM,CMR16GX4M2D3000C16,Corsair,Vengeance RGB,49,82.2,7576,https://ram.userbenchmark.com/SpeedTest/465040/Corsair-CMR16GX4M2D3000C16-2x8GB,2x8GB,DDR4,C16,3000
RAM,CMZ64GX3M8A1600C9,Corsair,Vengeance,50,82.1,95,https://ram.userbenchmark.com/SpeedTest/100478/Corsair-Vengeance-CMZ64GX3M8A1600C9-8x8GB,8x8GB,DDR3,C9,1600
RAM,CMR16GX4M2C3000C15,Corsair,Vengeance RGB,51,81.9,36785,https://ram.userbenchmark.com/SpeedTest/258851/Corsair-CMR16GX4M2C3000C15-2x8GB,2x8GB,DDR4,C15,3000
RAM,F4-3000C16D-16GTZR,G.SKILL,Trident Z RGB,52,81.8,87594,https://ram.userbenchmark.com/SpeedTest/236585/GSKILL-F4-3000C16-8GTZR-2x8GB,2x8GB,DDR4,C16,3000
RAM,HX421C14FBK4/32,HyperX,Fury,53,81.1,5894,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-4x8GB/Rating/3569,4x8GB,DDR4,C14,2133
RAM,CMK8GX4M2B3000C15,Corsair,Vengeance LPX,54,80.8,28260,https://ram.userbenchmark.com/SpeedTest/90523/Corsair-Vengeance-LPX-CMK8GX4M2B3000C15-2x4GB,2x4GB,DDR4,C15,3000
RAM,CMK16GX4M4A2400C16,Corsair,Vengeance LPX,55,80.8,481,https://ram.userbenchmark.com/SpeedTest/89553/Corsair-Vengeance-LPX-CMK16GX4M4A2400C16-4x4GB,4x4GB,DDR4,C16,2400
RAM,CMK16GX4M2C3000C16,Corsair,Vengeance LPX,56,79.9,5906,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB,2x8GB,DDR4,C16,3000
RAM,CMK16GX4M2C3000C16B,Corsair,Vengeance LPX,56,79.9,5906,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB,2x8GB,DDR4,C16,3000
RAM,CMK16GX4M2C3000C16R,Corsair,Vengeance LPX,56,79.9,5906,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB,2x8GB,DDR4,C16,3000
