Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,,Samsung,PM961 NVMe PCIe M.2 512GB,85,201,41426,https://ssd.userbenchmark.com/SpeedTest/181300/NVMe-SAMSUNG-MZVLW512
SSD,ASX6000PNP-1TT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 1TB,86,200,7534,https://ssd.userbenchmark.com/SpeedTest/664077/ADATA-SX6000PNP
SSD,WDS500G2B0C,WD,Blue SN550 NVMe PCIe M.2 500GB,87,200,102515,https://ssd.userbenchmark.com/SpeedTest/998114/WDC-WDS500G2B0C-00PXH0
SSD,WDS250G3X0C,WD,Black SN750 NVMe PCIe M.2 250GB (2019),88,199,13460,https://ssd.userbenchmark.com/SpeedTest/716792/WDS250G3X0C-00SJG0
SSD,PX-512M8PeG,Plextor,M8Pe NVMe PCIe M.2 512GB,89,196,2306,https://ssd.userbenchmark.com/SpeedTest/169863/PLEXTOR-PX-512M8PeG
SSD,MZ-V5P256BW,Samsung,950 NVMe PCIe M.2 256GB,90,196,40246,https://ssd.userbenchmark.com/SpeedTest/38570/NVMe-Samsung-SSD-950
SSD,CSSD-F480GBMP510,Corsair,Force NVMe PCIe M.2 480GB,91,195,35985,https://ssd.userbenchmark.com/SpeedTest/626885/Force-MP510
SSD,ASX6000PNP-512GT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 512GB,92,195,11340,https://ssd.userbenchmark.com/SpeedTest/594216/ADATA-SX6000PNP
SSD,PX-1TM8PeG,Plextor,M8Pe NVMe PCIe M.2 1TB,93,193,381,https://ssd.userbenchmark.com/SpeedTest/175630/PLEXTOR-PX-1TM8PeG
SSD,SB-ROCKET-512,Nvme,Rocket NVMe PCIe M.2 512GB,94,193,20264,https://ssd.userbenchmark.com/SpeedTest/801884/NVMe-Sabrent
SSD,WDS250G2X0C,WD,Black NVMe PCIe M.2 250GB (2018),95,193,7759,https://ssd.userbenchmark.com/SpeedTest/482421/WDS250G2X0C-00L350
SSD,CSSD-N800GBNX500,Corsair,Neutron NX500 NVMe PCIe 800GB,96,190,121,https://ssd.userbenchmark.com/SpeedTest/369784/Neutron-NX500
SSD,WDS500G1B0C,WD,Blue SN500 NVMe PCIe M.2 500GB,97,190,12068,https://ssd.userbenchmark.com/SpeedTest/759521/WDC-WDS500G1B0C-00S6U0
SSD,SSDPEKNW010T8X1,Intel,660p NVMe PCIe M.2 1TB,98,189,185257,https://ssd.userbenchmark.com/SpeedTest/602553/INTEL-SSDPEKNW010T8
SSD,SSDPEDMW400G4X1,Intel,750 Series NVMe PCIe 400GB,99,188,8591,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,SSDPEDMW400G4R5,Intel,750 Series NVMe PCIe 400GB,99,188,8591,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,CT500P2SSD8,Crucial,P2 3D NVMe PCIe M.2 500GB,100,186,46555,https://ssd.userbenchmark.com/SpeedTest/1110621/CT500P2SSD8
SSD,MZVPV256HDGL-00000,Samsung,SM951 NVMe PCIe M.2 256GB,101,185,9385,https://ssd.userbenchmark.com/SpeedTest/30950/NVMe-SAMSUNG-MZVPV256
SSD,CT250P2SSD8,Crucial,P2 3D NVMe PCIe M.2 250GB,102,185,5671,https://ssd.userbenchmark.com/SpeedTest/1121042/CT250P2SSD8
SSD,2YY44AA#ABC,HP,EX900 NVMe PCIe M.2 500GB,103,185,10731,https://ssd.userbenchmark.com/SpeedTest/532017/HP-SSD-EX900-500GB
SSD,MZHPV512HDGL-00000,Samsung,SM951 AHCI PCIe M.2 512GB,104,185,5331,https://ssd.userbenchmark.com/SpeedTest/24647/SAMSUNG-MZHPV512HDGL-00000
SSD,ZTSSD-PG3-480G-GE,Zotac,Sonix NVMe PCIe 480GB,105,184,247,https://ssd.userbenchmark.com/SpeedTest/131041/NVMe-ZTSSDPG3-480G-GE
SSD,5XM46AA#ABC,HP,EX900 NVMe PCIe M.2 1TB,106,184,132,https://ssd.userbenchmark.com/SpeedTest/695989/HP-SSD-EX900-1TB
SSD,SSDPEKKW256G8XT,Intel,760p Series NVMe PCIe M.2 256GB,107,184,21649,https://ssd.userbenchmark.com/SpeedTest/434656/INTEL-SSDPEKKW256G8
SSD,CT500P1SSD8,Crucial,P1 3D NVMe PCIe M.2 500GB,108,183,86391,https://ssd.userbenchmark.com/SpeedTest/614152/CT500P1SSD8
SSD,,Intel,Optane+ NVMe PCIe 500GB,109,182,1944,https://ssd.userbenchmark.com/SpeedTest/268688/Intel-Optane-466GBSSD
SSD,2YY45AA#ABC,HP,EX920 NVMe PCIe M.2 256GB,110,182,2315,https://ssd.userbenchmark.com/SpeedTest/537061/HP-SSD-EX920-256GB
SSD,MZVLW128,Samsung,PM961 NVMe PCIe M.2 128GB,111,182,10923,https://ssd.userbenchmark.com/SpeedTest/194898/NVMe-SAMSUNG-MZVLW128
SSD,,Intel,Optane+ NVMe PCIe 128GB,112,181,226,https://ssd.userbenchmark.com/SpeedTest/278104/Intel-Optane-119GBSSD
SSD,MZVLW256HEHP,Samsung,PM961 NVMe PCIe M.2 256GB,113,180,91316,https://ssd.userbenchmark.com/SpeedTest/174249/SAMSUNG-MZVLW256HEHP-00000
SSD,CSSD-N400GBNX500,Corsair,Neutron NX500 NVMe PCIe 400GB,114,179,483,https://ssd.userbenchmark.com/SpeedTest/331636/Neutron-NX500
SSD,PX-256M8PeG,Plextor,M8Pe NVMe PCIe M.2 256GB,115,179,2575,https://ssd.userbenchmark.com/SpeedTest/171701/PLEXTOR-PX-256M8PeG
SSD,RVD400-M22280-256G,Toshiba,OCZ RD400 NVMe PCIe M.2 256GB,116,174,3391,https://ssd.userbenchmark.com/SpeedTest/142093/NVMe-TOSHIBA-RD400
SSD,MZHPV256HDGL-00000,Samsung,SM951 AHCI PCIe M.2 256GB,117,173,7812,https://ssd.userbenchmark.com/SpeedTest/24782/SAMSUNG-MZHPV256HDGL-00000
SSD,MZVPV128HDGM-00000,Samsung,SM951 NVMe PCIe M.2 128GB,118,172,1749,https://ssd.userbenchmark.com/SpeedTest/34737/NVMe-SAMSUNG-MZVPV128
SSD,MKNSSDPL250GB-D8,Mushkin,Pilot NVMe PCIe M.2 250GB,119,172,1216,https://ssd.userbenchmark.com/SpeedTest/515464/MKNSSDPL250GB-D8
SSD,SKC1000/960G,Kingston,KC1000 NVMe PCIe M.2 960GB,120,172,326,https://ssd.userbenchmark.com/SpeedTest/320126/KINGSTON-SKC1000960G
SSD,ASX6000PNP-256GT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 256GB,121,171,14229,https://ssd.userbenchmark.com/SpeedTest/607866/ADATA-SX6000PNP
SSD,WDS250G2B0C,WD,Blue SN550 NVMe PCIe M.2 250GB,122,169,14654,https://ssd.userbenchmark.com/SpeedTest/991678/WDC-WDS250G2B0C-00PXH0
SSD,KXG50ZNV1T02,Toshiba,XG5 NVMe PCIe M.2 1TB,123,168,8624,https://ssd.userbenchmark.com/SpeedTest/359586/KXG50ZNV1T02-NVMe-TOSHIBA-1024GB
SSD,,Toshiba,THNSN5512GPU7 NVMe PCIe M.2 512GB,124,164,13595,https://ssd.userbenchmark.com/SpeedTest/120558/NVMe-THNSN5512GPU7-NV
SSD,SKC1000/480G,Kingston,KC1000 NVMe PCIe M.2 480GB,125,164,1203,https://ssd.userbenchmark.com/SpeedTest/316248/KINGSTON-SKC1000480G
SSD,MZHPV128HDGM-00000,Samsung,SM951 AHCI PCIe M.2 128GB,126,163,2139,https://ssd.userbenchmark.com/SpeedTest/26719/SAMSUNG-MZHPV128HDGM-00000
SSD,WDS250G1B0C,WD,Blue SN500 NVMe PCIe M.2 250GB,127,163,3119,https://ssd.userbenchmark.com/SpeedTest/756076/WDC-WDS250G1B0C-00S6U0
SSD,,Apple,SM0512G PCIe 500GB,128,163,1438,https://ssd.userbenchmark.com/SpeedTest/25611/APPLE-SSD-SM0512G
SSD,SSDPEDME400G401,Intel,DC P3600 Series NVMe PCIe 400GB,129,162,41,https://ssd.userbenchmark.com/SpeedTest/22744/NVMe-INTEL-SSDPEDME40
SSD,CSSD-F480GBMP500,Corsair,Force MP500 NVMe PCIe M.2 480GB,130,159,3692,https://ssd.userbenchmark.com/SpeedTest/223982/Force-MP500
SSD,SSDPEKNW512G8X1,Intel,660p NVMe PCIe M.2 512GB,131,158,160590,https://ssd.userbenchmark.com/SpeedTest/557263/INTEL-SSDPEKNW512G8
